02-26 17:46,4000,23728,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,8000,51456,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,12000,79312,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,16000,110912,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,20000,139216,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,24000,170624,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,28000,202512,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,32000,237824,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,36000,267280,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,40000,298432,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,44000,330416,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,48000,365248,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,52000,398320,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,56000,433024,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,60000,469008,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,64000,507648,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,68000,540176,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,72000,570560,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,76000,602608,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,80000,636864,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,84000,670896,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,88000,704832,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,92000,740720,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,96000,778496,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:46,100000,815024,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,4000,47904,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,8000,103808,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,12000,163616,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,16000,223616,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,20000,287232,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,24000,351232,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,28000,415232,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,32000,479232,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,36000,546464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,40000,614464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,44000,682464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,48000,750464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,52000,818464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,56000,886464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,60000,954464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,64000,1022464,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,68000,1092928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,72000,1164928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,76000,1236928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,80000,1308928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,84000,1380928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,88000,1452928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,92000,1524928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,96000,1596928,merge,data/reverse_v0.txt,REVERSED,50
02-26 17:59,100000,1668928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,4000,47904,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,8000,103808,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,12000,163616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,16000,223616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,20000,287232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,24000,351232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,28000,415232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,32000,479232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,36000,546464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,40000,614464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,44000,682464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,48000,750464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,52000,818464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,56000,886464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,60000,954464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,64000,1022464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,68000,1092928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,72000,1164928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,76000,1236928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,80000,1308928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,84000,1380928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,88000,1452928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,92000,1524928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,96000,1596928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,100000,1668928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,4000,47904,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,8000,103808,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,12000,163616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,16000,223616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,20000,287232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,24000,351232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,28000,415232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,32000,479232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,36000,546464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,40000,614464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,44000,682464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,48000,750464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,52000,818464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,56000,886464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,60000,954464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,64000,1022464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,68000,1092928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,72000,1164928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,76000,1236928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,80000,1308928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,84000,1380928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,88000,1452928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,92000,1524928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,96000,1596928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,100000,1668928,merge,data/reverse_v0.txt,REVERSED,50
